x,y,z
1.41421,3.53553,4.94975
2.82843,2.82843,4.24264
3.53553,3.53553,4.24264
3.53553,2.82843,4.94975
2.82843,3.53553,4.94975
4.24264,2.82843,4.24264
4.94975,3.53553,4.24264
4.94975,2.82843,4.94975
4.24264,3.53553,4.94975
0,4.24264,4.24264
0.707107,4.94975,4.24264
0.707107,4.24264,4.94975
0,4.94975,4.94975
1.41421,4.24264,4.24264
2.12132,4.94975,4.24264
2.12132,4.24264,4.94975
1.41421,4.94975,4.94975
2.82843,4.24264,4.24264
3.53553,4.94975,4.24264
3.53553,4.24264,4.94975
2.82843,4.94975,4.94975
4.24264,4.24264,4.24264
4.94975,4.94975,4.24264
4.94975,4.24264,4.94975
4.24264,4.94975,4.94975
