x,rho,eigvec
-6.4,0.0294967504674162,1.77749289108047e-08
-6,0.029879337260142,-6.4912682133011e-05
-5.6,0.0302483372194912,-0.000121526935900665
-5.2,0.0310886403397638,-0.000250819957975688
-4.8,0.0328498574207006,-0.000524603618181405
-4.4,0.0365138794636379,-0.00110072077399171
-4,0.0441817725622239,-0.00232183480929169
-3.6,0.0603014966280313,-0.00489623859516394
-3.2,0.0937056522603879,-0.00996749956782719
-2.8,0.1578968648823,-0.0179938001255151
-2.4,0.260220947067677,-0.0256206443297902
-2,0.379738167070834,-0.0270952335192165
-1.6,0.476632895362833,-0.0229029658456069
-1.2,0.540847289570272,-0.0186093146652359
-0.8,0.584587303326043,-0.0158445735738292
-0.4,0.60588442957045,-0.0135935455230558
0,0.609620550225263,-0.0126693321954842
0.4,0.605880742933257,-0.0136278422461984
0.8,0.584575058638942,-0.0158492311840734
1.2,0.540827797409206,-0.0186137853381498
1.6,0.476603845164064,-0.0228883138772991
2,0.379695878567157,-0.0270991085857889
2.4,0.260176762951111,-0.0256227393690089
2.8,0.15786461632414,-0.0179898961621186
3.2,0.0936865190908025,-0.00996655161845627
3.6,0.0602902443411226,-0.0048926010800905
4,0.0441734860536104,-0.00231936707387816
4.4,0.0365050712580526,-0.0010981744406328
4.8,0.0328343064339594,-0.000521976459239716
5.2,0.0310717121294048,-0.00024788047029755
5.6,0.0302422638302052,-0.0001200606334568
6,0.0294967504674162,-7.81754327942366e-08
